-- Seed: -6244207999796636337 --
12194 HOURS                     : 508d:02h
609700 HOURS                    : 25404d:04h
48776000 HOURS                  : 2032333d:08h
4584944000 HOURS                : 191039333d:08h
353040688000 HOURS              : 14710028666d:16h
32832783984000 HOURS            : 1368032666000d
1346144143344000 HOURS          : 56089339306000d
107691531467520000 HOURS        : 4487147144480000d
2153830629350400000 HOURS       : 89742942889600000d
4 DAYS                          : 4d
16 DAYS                         : 16d
736 DAYS                        : 736d
18400 DAYS                      : 18400d
184000 DAYS                     : 184000d
1840000 DAYS                    : 1840000d
128800000 DAYS                  : 128800000d
3091200000 DAYS                 : 3091200000d
287481600000 DAYS               : 287481600000d
2874816000000 DAYS              : 2874816000000d
275982336000000 DAYS            : 275982336000000d
20698675200000000 DAYS          : 20698675200000000d
1573099315200000000 DAYS        : 1573099315200000000d

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$1.NANOSECONDS, java.util.concurrent.TimeUnit$7.DAYS, false, true);
2 NANOSECONDS                   : 0d:00h:00m:00s:000ms:000us:002ns
18 NANOSECONDS                  : 0d:00h:00m:00s:000ms:000us:018ns
594 NANOSECONDS                 : 0d:00h:00m:00s:000ms:000us:594ns
29700 NANOSECONDS               : 0d:00h:00m:00s:000ms:029us:700ns
623700 NANOSECONDS              : 0d:00h:00m:00s:000ms:623us:700ns
29937600 NANOSECONDS            : 0d:00h:00m:00s:029ms:937us:600ns
179625600 NANOSECONDS           : 0d:00h:00m:00s:179ms:625us:600ns
8981280000 NANOSECONDS          : 0d:00h:00m:08s:981ms:280us
601745760000 NANOSECONDS        : 0d:00h:10m:01s:745ms:760us
15645389760000 NANOSECONDS      : 0d:04h:20m:45s:389ms:760us
797914877760000 NANOSECONDS     : 9d:05h:38m:34s:877ms:760us
70216509242880000 NANOSECONDS   : 812d:16h:35m:09s:242ms:880us
2036278768043520000 NANOSECONDS : 23568d:00h:59m:28s:043ms:520us
4 MICROSECONDS                  : 0d:00h:00m:00s:000ms:004us
20 MICROSECONDS                 : 0d:00h:00m:00s:000ms:020us
1420 MICROSECONDS               : 0d:00h:00m:00s:001ms:420us
86620 MICROSECONDS              : 0d:00h:00m:00s:086ms:620us
1645780 MICROSECONDS            : 0d:00h:00m:01s:645ms:780us
75705880 MICROSECONDS           : 0d:00h:01m:15s:705ms:880us
1665529360 MICROSECONDS         : 0d:00h:27m:45s:529ms:360us
66621174400 MICROSECONDS        : 0d:18h:30m:21s:174ms:400us
2598225801600 MICROSECONDS      : 30d:01h:43m:45s:801ms:600us
28580483817600 MICROSECONDS     : 330d:19h:01m:23s:817ms:600us
228643870540800 MICROSECONDS    : 2646d:08h:11m:10s:540ms:800us
14175919973529600 MICROSECONDS  : 164073d:03h:32m:53s:529ms:600us
354397999338240000 MICROSECONDS : 4101828d:16h:42m:18s:240ms
8 MILLISECONDS                  : 0d:00h:00m:00s:008ms
24 MILLISECONDS                 : 0d:00h:00m:00s:024ms
1464 MILLISECONDS               : 0d:00h:00m:01s:464ms
112728 MILLISECONDS             : 0d:00h:01m:52s:728ms
10483704 MILLISECONDS           : 0d:02h:54m:43s:704ms
608054832 MILLISECONDS          : 7d:00h:54m:14s:832ms
27362467440 MILLISECONDS        : 316d:16h:41m:07s:440ms
2544709471920 MILLISECONDS      : 29452d:15h:44m:31s:920ms
160316696730960 MILLISECONDS    : 1855517d:07h:45m:30s:960ms
9458685107126640 MILLISECONDS   : 109475522d:01h:45m:26s:640ms
756694808570131200 MILLISECONDS : 8758041765d:20h:35m:31s:200ms
2 SECONDS                       : 0d:00h:00m:02s
162 SECONDS                     : 0d:00h:02m:42s
7614 SECONDS                    : 0d:02h:06m:54s
609120 SECONDS                  : 7d:01h:12m
50556960 SECONDS                : 585d:03h:36m
2477291040 SECONDS              : 28672d:08h:24m
86705186400 SECONDS             : 1003532d:06h
2514450405600 SECONDS           : 29102435d:06h
30173404867200 SECONDS          : 349229223d
181040429203200 SECONDS         : 2095375338d
11948668327411200 SECONDS       : 138294772308d
693022762989849600 SECONDS      : 8021096793864d
2 MINUTES                       : 0d:00h:02m
172 MINUTES                     : 0d:02h:52m
7568 MINUTES                    : 5d:06h:08m
204336 MINUTES                  : 141d:21h:36m
17777232 MINUTES                : 12345d:07h:12m
1368846864 MINUTES              : 950588d:02h:24m
64335802608 MINUTES             : 44677640d:16h:48m
2380424696496 MINUTES           : 1653072705d:21h:36m
138064632396768 MINUTES         : 95878216942d:04h:48m
3451615809919200 MINUTES        : 2396955423555d
189838869545556000 MINUTES      : 131832548295525d
6 HOURS                         : 0d:06h
582 HOURS                       : 24d:06h
57618 HOURS                     : 2400d:18h
2708046 HOURS                   : 112835d:06h
140818392 HOURS                 : 5867433d
3942914976 HOURS                : 164288124d
3942914976 HOURS                : 164288124d
11828744928 HOURS               : 492864372d
201088663776 HOURS              : 8378694324d
6434837240832 HOURS             : 268118218368d
444003769617408 HOURS           : 18500157067392d
38628327956714496 HOURS         : 1609513664863104d
2742611284926729216 HOURS       : 114275470205280384d
8 DAYS                          : 8d
680 DAYS                        : 680d
34680 DAYS                      : 34680d
2705040 DAYS                    : 2705040d
238043520 DAYS                  : 238043520d
16186959360 DAYS                : 16186959360d
226617431040 DAYS               : 226617431040d
3625878896640 DAYS              : 3625878896640d
79769335726080 DAYS             : 79769335726080d
7179240215347200 DAYS           : 7179240215347200d
481009094428262400 DAYS         : 481009094428262400d

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$1.NANOSECONDS, java.util.concurrent.TimeUnit$7.DAYS, true, false);
4 NANOSECONDS                   : 4ns
340 NANOSECONDS                 : 340ns
32300 NANOSECONDS               : 32us:300ns
2454800 NANOSECONDS             : 2ms:454us:800ns
142378400 NANOSECONDS           : 142ms:378us:400ns
2278054400 NANOSECONDS          : 2s:278ms:054us:400ns
138961318400 NANOSECONDS        : 2m:18s:961ms:318us:400ns
4863646144000 NANOSECONDS       : 1h:21m:03s:646ms:144us:000ns
282091476352000 NANOSECONDS     : 3d:06h:21m:31s:476ms:352us:000ns
13258299388544000 NANOSECONDS   : 153d:10h:51m:39s:388ms:544us:000ns
503815376764672000 NANOSECONDS  : 5831d:04h:42m:56s:764ms:672us:000ns
3 MICROSECONDS                  : 3us:000ns
204 MICROSECONDS                : 204us:000ns
6936 MICROSECONDS               : 6ms:936us:000ns
312120 MICROSECONDS             : 312ms:120us:000ns
14981760 MICROSECONDS           : 14s:981ms:760us:000ns
1378321920 MICROSECONDS         : 22m:58s:321ms:920us:000ns
56511198720 MICROSECONDS        : 15h:41m:51s:198ms:720us:000ns
3673227916800 MICROSECONDS      : 42d:12h:20m:27s:916ms:800us:000ns
198354307507200 MICROSECONDS    : 2295d:18h:25m:07s:507ms:200us:000ns
5752274917708800 MICROSECONDS   : 66577d:06h:08m:37s:708ms:800us:000ns
126550048189593600 MICROSECONDS : 1464699d:15h:09m:49s:593ms:600us:000ns
1138950433706342400 MICROSECONDS: 13182296d:16h:28m:26s:342ms:400us:000ns
2277900867412684800 MICROSECONDS: 26364593d:08h:56m:52s:684ms:800us:000ns
2 MILLISECONDS                  : 2ms:000us:000ns
14 MILLISECONDS                 : 14ms:000us:000ns
672 MILLISECONDS                : 672ms:000us:000ns
672 MILLISECONDS                : 672ms:000us:000ns
66528 MILLISECONDS              : 1m:06s:528ms:000us:000ns
399168 MILLISECONDS             : 6m:39s:168ms:000us:000ns
21954240 MILLISECONDS           : 6h:05m:54s:240ms:000us:000ns
439084800 MILLISECONDS          : 5d:01h:58m:04s:800ms:000us:000ns
7025356800 MILLISECONDS         : 81d:07h:29m:16s:800ms:000us:000ns
70253568000 MILLISECONDS        : 813d:02h:52m:48s:000ms:000us:000ns
5971553280000 MILLISECONDS      : 69115d:04h:48m:00s:000ms:000us:000ns
328435430400000 MILLISECONDS    : 3801336d:00h:00m:00s:000ms:000us:000ns
7882450329600000 MILLISECONDS   : 91232064d:00h:00m:00s:000ms:000us:000ns
441417218457600000 MILLISECONDS : 5108995584d:00h:00m:00s:000ms:000us:000ns
0 SECONDS                       : 0ns
35 SECONDS                      : 35s:000ms:000us:000ns
2030 SECONDS                    : 33m:50s:000ms:000us:000ns
2030 SECONDS                    : 33m:50s:000ms:000us:000ns
127890 SECONDS                  : 1d:11h:31m:30s:000ms:000us:000ns
3580920 SECONDS                 : 41d:10h:42m:00s:000ms:000us:000ns
46551960 SECONDS                : 538d:19h:06m:00s:000ms:000us:000ns
698279400 SECONDS               : 8081d:22h:30m:00s:000ms:000us:000ns
37008808200 SECONDS             : 428342d:16h:30m:00s:000ms:000us:000ns
3293783929800 SECONDS           : 38122499d:04h:30m:00s:000ms:000us:000ns
23056487508600 SECONDS          : 266857494d:07h:30m:00s:000ms:000us:000ns
1198937350447200 SECONDS        : 13876589704d:06h:00m:00s:000ms:000us:000ns
82726677180856800 SECONDS       : 957484689593d:06h:00m:00s:000ms:000us:000ns
2068166929521420000 SECONDS     : 23937117239831d:06h:00m:00s:000ms:000us:000ns
7 MINUTES                       : 7m:00s:000ms:000us:000ns
427 MINUTES                     : 7h:07m:00s:000ms:000us:000ns
7686 MINUTES                    : 5d:08h:06m:00s:000ms:000us:000ns
130662 MINUTES                  : 90d:17h:42m:00s:000ms:000us:000ns
8231706 MINUTES                 : 5716d:11h:06m:00s:000ms:000us:000ns
32926824 MINUTES                : 22865d:20h:24m:00s:000ms:000us:000ns
2074389912 MINUTES              : 1440548d:13h:12m:00s:000ms:000us:000ns
53934137712 MINUTES             : 37454262d:07h:12m:00s:000ms:000us:000ns
3128179987296 MINUTES           : 2172347213d:09h:36m:00s:000ms:000us:000ns
37538159847552 MINUTES          : 26068166560d:19h:12m:00s:000ms:000us:000ns
2064598791615360 MINUTES        : 1433749160844d:00h:00m:00s:000ms:000us:000ns
26839784290999680 MINUTES       : 18638739090972d:00h:00m:00s:000ms:000us:000ns
1073591371639987200 MINUTES     : 745549563638880d:00h:00m:00s:000ms:000us:000ns
8 HOURS                         : 8h:00m:00s:000ms:000us:000ns
384 HOURS                       : 16d:00h:00m:00s:000ms:000us:000ns
20736 HOURS                     : 864d:00h:00m:00s:000ms:000us:000ns
642816 HOURS                    : 26784d:00h:00m:00s:000ms:000us:000ns
42425856 HOURS                  : 1767744d:00h:00m:00s:000ms:000us:000ns
890942976 HOURS                 : 37122624d:00h:00m:00s:000ms:000us:000ns
74839209984 HOURS               : 3118300416d:00h:00m:00s:000ms:000us:000ns
2095497879552 HOURS             : 87312411648d:00h:00m:00s:000ms:000us:000ns
79628919422976 HOURS            : 3317871642624d:00h:00m:00s:000ms:000us:000ns
1194433791344640 HOURS          : 49768074639360d:00h:00m:00s:000ms:000us:000ns
83610365394124800 HOURS         : 3483765224755200d:00h:00m:00s:000ms:000us:000ns
4933011558253363200 HOURS       : 205542148260556800d:00h:00m:00s:000ms:000us:000ns
2 DAYS                          : 2d:00h:00m:00s:000ms:000us:000ns
120 DAYS                        : 120d:00h:00m:00s:000ms:000us:000ns
11280 DAYS                      : 11280d:00h:00m:00s:000ms:000us:000ns
394800 DAYS                     : 394800d:00h:00m:00s:000ms:000us:000ns
30004800 DAYS                   : 30004800d:00h:00m:00s:000ms:000us:000ns
2580412800 DAYS                 : 2580412800d:00h:00m:00s:000ms:000us:000ns
239978390400 DAYS               : 239978390400d:00h:00m:00s:000ms:000us:000ns
19198271232000 DAYS             : 19198271232000d:00h:00m:00s:000ms:000us:000ns
748732578048000 DAYS            : 748732578048000d:00h:00m:00s:000ms:000us:000ns
56903675931648000 DAYS          : 56903675931648000d:00h:00m:00s:000ms:000us:000ns
5405849213506560000 DAYS        : 5405849213506560000d:00h:00m:00s:000ms:000us:000ns

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$1.NANOSECONDS, java.util.concurrent.TimeUnit$7.DAYS, true, true);
7 NANOSECONDS                   : 0d:00h:00m:00s:000ms:000us:007ns
385 NANOSECONDS                 : 0d:00h:00m:00s:000ms:000us:385ns
20020 NANOSECONDS               : 0d:00h:00m:00s:000ms:020us:020ns
400400 NANOSECONDS              : 0d:00h:00m:00s:000ms:400us:400ns
25225200 NANOSECONDS            : 0d:00h:00m:00s:025ms:225us:200ns
1437836400 NANOSECONDS          : 0d:00h:00m:01s:437ms:836us:400ns
38821582800 NANOSECONDS         : 0d:00h:00m:38s:821ms:582us:800ns
2368116550800 NANOSECONDS       : 0d:00h:39m:28s:116ms:550us:800ns
66307263422400 NANOSECONDS      : 0d:18h:25m:07s:263ms:422us:400ns
2851212327163200 NANOSECONDS    : 33d:00h:00m:12s:327ms:163us:200ns
253757897117524800 NANOSECONDS  : 2937d:00h:18m:17s:117ms:524us:800ns
4 MICROSECONDS                  : 0d:00h:00m:00s:000ms:004us:000ns
40 MICROSECONDS                 : 0d:00h:00m:00s:000ms:040us:000ns
200 MICROSECONDS                : 0d:00h:00m:00s:000ms:200us:000ns
19200 MICROSECONDS              : 0d:00h:00m:00s:019ms:200us:000ns
1286400 MICROSECONDS            : 0d:00h:00m:01s:286ms:400us:000ns
37305600 MICROSECONDS           : 0d:00h:00m:37s:305ms:600us:000ns
1231084800 MICROSECONDS         : 0d:00h:20m:31s:084ms:800us:000ns
46781222400 MICROSECONDS        : 0d:12h:59m:41s:222ms:400us:000ns
3602154124800 MICROSECONDS      : 41d:16h:35m:54s:124ms:800us:000ns
302580946483200 MICROSECONDS    : 3502d:02h:15m:46s:483ms:200us:000ns
605161892966400 MICROSECONDS    : 7004d:04h:31m:32s:966ms:400us:000ns
11498075966361600 MICROSECONDS  : 133079d:13h:59m:26s:361ms:600us:000ns
482919190587187200 MICROSECONDS : 5589342d:11h:36m:27s:187ms:200us:000ns
6277949477633433600 MICROSECONDS: 72661452d:06h:53m:53s:433ms:600us:000ns
8 MILLISECONDS                  : 0d:00h:00m:00s:008ms:000us:000ns
792 MILLISECONDS                : 0d:00h:00m:00s:792ms:000us:000ns
51480 MILLISECONDS              : 0d:00h:00m:51s:480ms:000us:000ns
1801800 MILLISECONDS            : 0d:00h:30m:01s:800ms:000us:000ns
48648600 MILLISECONDS           : 0d:13h:30m:48s:600ms:000us:000ns
3502699200 MILLISECONDS         : 40d:12h:58m:19s:200ms:000us:000ns
133102569600 MILLISECONDS       : 1540d:12h:56m:09s:600ms:000us:000ns
3726871948800 MILLISECONDS      : 43135d:02h:12m:28s:800ms:000us:000ns
257154164467200 MILLISECONDS    : 2976321d:08h:21m:07s:200ms:000us:000ns
11314783236556800 MILLISECONDS  : 130958139d:07h:29m:16s:800ms:000us:000ns
758090476849305600 MILLISECONDS : 8774195333d:21h:41m:45s:600ms:000us:000ns
8 SECONDS                       : 0d:00h:00m:08s:000ms:000us:000ns
56 SECONDS                      : 0d:00h:00m:56s:000ms:000us:000ns
448 SECONDS                     : 0d:00h:07m:28s:000ms:000us:000ns
22848 SECONDS                   : 0d:06h:20m:48s:000ms:000us:000ns
137088 SECONDS                  : 1d:14h:04m:48s:000ms:000us:000ns
6031872 SECONDS                 : 69d:19h:31m:12s:000ms:000us:000ns
524772864 SECONDS               : 6073d:18h:14m:24s:000ms:000us:000ns
27288188928 SECONDS             : 315835d:12h:28m:48s:000ms:000us:000ns
1309833068544 SECONDS           : 15160104d:23h:02m:24s:000ms:000us:000ns
52393322741760 SECONDS          : 606404198d:09h:36m:00s:000ms:000us:000ns
5134545628692480 SECONDS        : 59427611443d:04h:48m:00s:000ms:000us:000ns
25672728143462400 SECONDS       : 297138057216d:00h:00m:00s:000ms:000us:000ns
744509116160409600 SECONDS      : 8617003659264d:00h:00m:00s:000ms:000us:000ns
4 MINUTES                       : 0d:00h:04m:00s:000ms:000us:000ns
144 MINUTES                     : 0d:02h:24m:00s:000ms:000us:000ns
3024 MINUTES                    : 2d:02h:24m:00s:000ms:000us:000ns
21168 MINUTES                   : 14d:16h:48m:00s:000ms:000us:000ns
910224 MINUTES                  : 632d:02h:24m:00s:000ms:000us:000ns
40960080 MINUTES                : 28444d:12h:00m:00s:000ms:000us:000ns
491520960 MINUTES               : 341334d:00h:00m:00s:000ms:000us:000ns
24084527040 MINUTES             : 16725366d:00h:00m:00s:000ms:000us:000ns
1324648987200 MINUTES           : 919895130d:00h:00m:00s:000ms:000us:000ns
67557098347200 MINUTES          : 46914651630d:00h:00m:00s:000ms:000us:000ns
3715640409096000 MINUTES        : 2580305839650d:00h:00m:00s:000ms:000us:000ns
196928941682088000 MINUTES      : 136756209501450d:00h:00m:00s:000ms:000us:000ns
7 HOURS                         : 0d:07h:00m:00s:000ms:000us:000ns
308 HOURS                       : 12d:20h:00m:00s:000ms:000us:000ns
924 HOURS                       : 38d:12h:00m:00s:000ms:000us:000ns
51744 HOURS                     : 2156d:00h:00m:00s:000ms:000us:000ns
2173248 HOURS                   : 90552d:00h:00m:00s:000ms:000us:000ns
215151552 HOURS                 : 8964648d:00h:00m:00s:000ms:000us:000ns
6669698112 HOURS                : 277904088d:00h:00m:00s:000ms:000us:000ns
513566754624 HOURS              : 21398614776d:00h:00m:00s:000ms:000us:000ns
29273305013568 HOURS            : 1219721042232d:00h:00m:00s:000ms:000us:000ns
936745760434176 HOURS           : 39031073351424d:00h:00m:00s:000ms:000us:000ns
42153559219537920 HOURS         : 1756398300814080d:00h:00m:00s:000ms:000us:000ns
1306760335805675520 HOURS       : 54448347325236480d:00h:00m:00s:000ms:000us:000ns
3 DAYS                          : 3d:00h:00m:00s:000ms:000us:000ns
24 DAYS                         : 24d:00h:00m:00s:000ms:000us:000ns
1536 DAYS                       : 1536d:00h:00m:00s:000ms:000us:000ns
67584 DAYS                      : 67584d:00h:00m:00s:000ms:000us:000ns
4190208 DAYS                    : 4190208d:00h:00m:00s:000ms:000us:000ns
284934144 DAYS                  : 284934144d:00h:00m:00s:000ms:000us:000ns
12822036480 DAYS                : 12822036480d:00h:00m:00s:000ms:000us:000ns
961652736000 DAYS               : 961652736000d:00h:00m:00s:000ms:000us:000ns
22118012928000 DAYS             : 22118012928000d:00h:00m:00s:000ms:000us:000ns
729894426624000 DAYS            : 729894426624000d:00h:00m:00s:000ms:000us:000ns
6569049839616000 DAYS           : 6569049839616000d:00h:00m:00s:000ms:000us:000ns
243054844065792000 DAYS         : 243054844065792000d:00h:00m:00s:000ms:000us:000ns

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$1.NANOSECONDS, java.util.concurrent.TimeUnit$6.HOURS, false, false);
4 NANOSECONDS                   : 4ns
356 NANOSECONDS                 : 356ns
20648 NANOSECONDS               : 20us:648ns
1631192 NANOSECONDS             : 1ms:631us:192ns
92977944 NANOSECONDS            : 92ms:977us:944ns
7252279632 NANOSECONDS          : 7s:252ms:279us:632ns
319100303808 NANOSECONDS        : 5m:19s:100ms:303us:808ns
12125811544704 NANOSECONDS      : 3h:22m:05s:811ms:544us:704ns
776051938861056 NANOSECONDS     : 215h:34m:11s:938ms:861us:056ns
12416831021776896 NANOSECONDS   : 3449h:07m:11s:021ms:776us:896ns
496673240871075840 NANOSECONDS  : 137964h:47m:20s:871ms:075us:840ns
1 MICROSECONDS                  : 1us
78 MICROSECONDS                 : 78us
3354 MICROSECONDS               : 3ms:354us
150930 MICROSECONDS             : 150ms:930us
11470680 MICROSECONDS           : 11s:470ms:680us
11470680 MICROSECONDS           : 11s:470ms:680us
1032361200 MICROSECONDS         : 17m:12s:361ms:200us
59876949600 MICROSECONDS        : 16h:37m:56s:949ms:600us
2694462732000 MICROSECONDS      : 748h:27m:42s:732ms
153584375724000 MICROSECONDS    : 42662h:19m:35s:724ms
7525634410476000 MICROSECONDS   : 2090454h:00m:10s:476ms
368756086113324000 MICROSECONDS : 102432246h:08m:33s:324ms
5 MILLISECONDS                  : 5ms
85 MILLISECONDS                 : 85ms
3400 MILLISECONDS               : 3s:400ms
102000 MILLISECONDS             : 1m:42s
9282000 MILLISECONDS            : 2h:34m:42s
686868000 MILLISECONDS          : 190h:47m:48s
19232304000 MILLISECONDS        : 5342h:18m:24s
326949168000 MILLISECONDS       : 90819h:12m:48s
22232543424000 MILLISECONDS     : 6175706h:30m:24s
1467347865984000 MILLISECONDS   : 407596629h:26m:24s
76302089031168000 MILLISECONDS  : 21195024730h:52m:48s
4578125341870080000 MILLISECONDS: 1271701483852h:48m
5 SECONDS                       : 5s
130 SECONDS                     : 2m:10s
12740 SECONDS                   : 3h:32m:20s
191100 SECONDS                  : 53h:05m
8026200 SECONDS                 : 2229h:30m
730384200 SECONDS               : 202884h:30m
43823052000 SECONDS             : 12173070h
3242905848000 SECONDS           : 900807180h
197817256728000 SECONDS         : 54949237980h
13649390714232000 SECONDS       : 3791497420620h
1201146382852416000 SECONDS     : 333651773014560h
7 MINUTES                       : 7m
252 MINUTES                     : 4h:12m
5292 MINUTES                    : 88h:12m
132300 MINUTES                  : 2205h
396900 MINUTES                  : 6615h
35721000 MINUTES                : 595350h
428652000 MINUTES               : 7144200h
8573040000 MINUTES              : 142884000h
265764240000 MINUTES            : 4429404000h
2126113920000 MINUTES           : 35435232000h
51026734080000 MINUTES          : 850445568000h
4796513003520000 MINUTES        : 79941883392000h
340552423249920000 MINUTES      : 5675873720832000h
1 HOURS                         : 1h
66 HOURS                        : 66h
5742 HOURS                      : 5742h
97614 HOURS                     : 97614h
9370944 HOURS                   : 9370944h
674707968 HOURS                 : 674707968h
52627221504 HOURS               : 52627221504h
1841952752640 HOURS             : 1841952752640h
165775747737600 HOURS           : 165775747737600h
9946544864256000 HOURS          : 9946544864256000h
596792691855360000 HOURS        : 596792691855360000h
6 DAYS                          : 144h
444 DAYS                        : 10656h
6660 DAYS                       : 159840h
452880 DAYS                     : 10869120h
38494800 DAYS                   : 923875200h
962370000 DAYS                  : 23096880000h
11548440000 DAYS                : 277162560000h
1050908040000 DAYS              : 25221792960000h
74614470840000 DAYS             : 1790747300160000h
5446856371320000 DAYS           : 130724552911680000h
517451355275400000 DAYS         : ERROR: 517451355275400000 DAYS is too large to represent in HOURS
5691964908029400000 DAYS        : ERROR: 5691964908029400000 DAYS is too large to represent in HOURS

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$1.NANOSECONDS, java.util.concurrent.TimeUnit$6.HOURS, false, true);
4 NANOSECONDS                   : 0h:00m:00s:000ms:000us:004ns
344 NANOSECONDS                 : 0h:00m:00s:000ms:000us:344ns
33368 NANOSECONDS               : 0h:00m:00s:000ms:033us:368ns
2869648 NANOSECONDS             : 0h:00m:00s:002ms:869us:648ns
25826832 NANOSECONDS            : 0h:00m:00s:025ms:826us:832ns
2117800224 NANOSECONDS          : 0h:00m:02s:117ms:800us:224ns
55062805824 NANOSECONDS         : 0h:00m:55s:062ms:805us:824ns
991130504832 NANOSECONDS        : 0h:16m:31s:130ms:504us:832ns
30725045649792 NANOSECONDS      : 8h:32m:05s:045ms:649us:792ns
1874227784637312 NANOSECONDS    : 520h:37m:07s:784ms:637us:312ns
86214478093316352 NANOSECONDS   : 23948h:27m:58s:093ms:316us:352ns
7242016159838573568 NANOSECONDS : 2011671h:09m:19s:838ms:573us:568ns
3 MICROSECONDS                  : 0h:00m:00s:000ms:003us
195 MICROSECONDS                : 0h:00m:00s:000ms:195us
2925 MICROSECONDS               : 0h:00m:00s:002ms:925us
239850 MICROSECONDS             : 0h:00m:00s:239ms:850us
7435350 MICROSECONDS            : 0h:00m:07s:435ms:350us
535345200 MICROSECONDS          : 0h:08m:55s:345ms:200us
14989665600 MICROSECONDS        : 4h:09m:49s:665ms:600us
179875987200 MICROSECONDS       : 49h:57m:55s:987ms:200us
8813923372800 MICROSECONDS      : 2448h:18m:43s:372ms:800us
493579708876800 MICROSECONDS    : 137105h:28m:28s:876ms:800us
15300970975180800 MICROSECONDS  : 4250269h:42m:55s:180ms:800us
1162873794113740800 MICROSECONDS: 323020498h:21m:53s:740ms:800us
6 MILLISECONDS                  : 0h:00m:00s:006ms
324 MILLISECONDS                : 0h:00m:00s:324ms
9396 MILLISECONDS               : 0h:00m:09s:396ms
84564 MILLISECONDS              : 0h:01m:24s:564ms
7949016 MILLISECONDS            : 2h:12m:29s:016ms
246419496 MILLISECONDS          : 68h:26m:59s:496ms
11828135808 MILLISECONDS        : 3285h:35m:35s:808ms
615063062016 MILLISECONDS       : 170850h:51m:02s:016ms
9841008992256 MILLISECONDS      : 2733613h:36m:32s:256ms
